id_url;url;url2
55;https://www.moneytimes.com.br/ativa-traz-quatro-acoes-para-encarar-semana-e-apenas-mantem-papeis-da-jbs/;"""https://www.moneytimes.com.br/ativa-traz-quatro-acoes-para-encarar-semana-e-apenas-mantem-papeis-da-jbs/"""
56;https://www.moneytimes.com.br/veja-as-cinco-acoes-da-xp-para-encarar-a-semana/;"""https://www.moneytimes.com.br/veja-as-cinco-acoes-da-xp-para-encarar-a-semana/"""
57;https://www.moneytimes.com.br/xp-inclui-magazine-luiza-e-br-em-carteira-recomendada-semanal/;"""https://www.moneytimes.com.br/xp-inclui-magazine-luiza-e-br-em-carteira-recomendada-semanal/"""
58;https://www.moneytimes.com.br/apos-apanhar-do-ibovespa-mycap-recalibra-carteira-semanal-com-quatro-trocas/;"""https://www.moneytimes.com.br/apos-apanhar-do-ibovespa-mycap-recalibra-carteira-semanal-com-quatro-trocas/"""
59;https://www.moneytimes.com.br/xp-substitui-marfrig-por-eztec-em-carteira-semanal/;"""https://www.moneytimes.com.br/xp-substitui-marfrig-por-eztec-em-carteira-semanal/"""
60;https://www.moneytimes.com.br/elite-segue-com-as-cinco-acoes-que-renderam-mais-que-ibovespa-na-ultima-semana/;"""https://www.moneytimes.com.br/elite-segue-com-as-cinco-acoes-que-renderam-mais-que-ibovespa-na-ultima-semana/"""
61;https://www.moneytimes.com.br/necton-mantem-apenas-direcional-na-carteira-recomendada-da-semana-veja-o-novo-portfolio/;"""https://www.moneytimes.com.br/necton-mantem-apenas-direcional-na-carteira-recomendada-da-semana-veja-o-novo-portfolio/"""
62;https://www.moneytimes.com.br/comece-a-operar-em-2021-com-a-carteira-semanal-da-mycap/;"""https://www.moneytimes.com.br/comece-a-operar-em-2021-com-a-carteira-semanal-da-mycap/"""
63;https://www.moneytimes.com.br/mycap-realiza-inclui-pao-de-acucar-aeris-e-banco-inter-em-carteira-recomendada-semanal/;"""https://www.moneytimes.com.br/mycap-realiza-inclui-pao-de-acucar-aeris-e-banco-inter-em-carteira-recomendada-semanal/"""
64;https://www.moneytimes.com.br/necton-troca-quatro-acoes-em-sua-carteira-recomendada-semanal/;"""https://www.moneytimes.com.br/necton-troca-quatro-acoes-em-sua-carteira-recomendada-semanal/"""
65;https://www.moneytimes.com.br/apesar-ter-caido-junto-com-o-ibovespa-carteira-semanal-da-ativa-e-mantida/;"""https://www.moneytimes.com.br/apesar-ter-caido-junto-com-o-ibovespa-carteira-semanal-da-ativa-e-mantida/"""
66;https://www.moneytimes.com.br/ativa-troca-tres-acoes-em-sua-carteira-recomendada-semanal-veja/;"""https://www.moneytimes.com.br/ativa-troca-tres-acoes-em-sua-carteira-recomendada-semanal-veja/"""
67;https://www.moneytimes.com.br/veja-as-5-apostas-da-carteira-da-elite-para-a-semana/;"""https://www.moneytimes.com.br/veja-as-5-apostas-da-carteira-da-elite-para-a-semana/"""
68;https://www.moneytimes.com.br/xp-faz-limpa-em-carteira-recomendada-semanal-e-so-mantem-lojas-americanas/;"""https://www.moneytimes.com.br/xp-faz-limpa-em-carteira-recomendada-semanal-e-so-mantem-lojas-americanas/"""
69;https://www.moneytimes.com.br/btg-segue-com-o-mesmo-time-de-acoes-nesta-semana-apos-escantear-ibovespa/;"""https://www.moneytimes.com.br/btg-segue-com-o-mesmo-time-de-acoes-nesta-semana-apos-escantear-ibovespa/"""
70;https://www.moneytimes.com.br/xp-veja-as-cinco-acoes-selecionadas-para-a-semana/;"""https://www.moneytimes.com.br/xp-veja-as-cinco-acoes-selecionadas-para-a-semana/"""
71;https://www.moneytimes.com.br/xp-faz-duas-trocas-em-carteira-recomendada-semanal-veja-o-portfolio-2/;"""https://www.moneytimes.com.br/xp-faz-duas-trocas-em-carteira-recomendada-semanal-veja-o-portfolio-2/"""
72;https://www.moneytimes.com.br/mycap-ganha-duas-novas-acoes-em-carteira-recomendada-semanal-veja-quais/;"""https://www.moneytimes.com.br/mycap-ganha-duas-novas-acoes-em-carteira-recomendada-semanal-veja-quais/"""
73;https://www.moneytimes.com.br/terra-indica-cinco-acoes-para-investir-na-semana-veja/;"""https://www.moneytimes.com.br/terra-indica-cinco-acoes-para-investir-na-semana-veja/"""
74;https://www.moneytimes.com.br/locaweb-e-b3-substituem-banco-do-brasil-e-klabin-na-carteira-semanal-da-mycap/;"""https://www.moneytimes.com.br/locaweb-e-b3-substituem-banco-do-brasil-e-klabin-na-carteira-semanal-da-mycap/"""
75;https://www.moneytimes.com.br/xp-investimentos-faz-uma-troca-em-carteira-recomendada-semanal-veja-o-portfolio/;"""https://www.moneytimes.com.br/xp-investimentos-faz-uma-troca-em-carteira-recomendada-semanal-veja-o-portfolio/"""
76;https://www.moneytimes.com.br/confira-as-cinco-acoes-recomendadas-pela-mirae-para-esta-semana/;"""https://www.moneytimes.com.br/confira-as-cinco-acoes-recomendadas-pela-mirae-para-esta-semana/"""
77;https://www.moneytimes.com.br/carteira-semanal-da-mycap-ganha-4-novas-acoes/;"""https://www.moneytimes.com.br/carteira-semanal-da-mycap-ganha-4-novas-acoes/"""
78;https://www.moneytimes.com.br/btg-pactual-realiza-duas-trocas-em-sua-carteira-recomendada-semanal/;"""https://www.moneytimes.com.br/btg-pactual-realiza-duas-trocas-em-sua-carteira-recomendada-semanal/"""
79;https://www.moneytimes.com.br/terra-troca-gerdau-por-b3-na-carteira-recomendada-semanal/;"""https://www.moneytimes.com.br/terra-troca-gerdau-por-b3-na-carteira-recomendada-semanal/"""
80;https://www.moneytimes.com.br/xp-so-mantem-uma-acao-em-carteira-recomendada-semanal-veja-o-portfolio/;"""https://www.moneytimes.com.br/xp-so-mantem-uma-acao-em-carteira-recomendada-semanal-veja-o-portfolio/"""
81;https://www.moneytimes.com.br/mycap-repagina-toda-a-carteira-recomendada-apos-golear-o-ibovespa/;"""https://www.moneytimes.com.br/mycap-repagina-toda-a-carteira-recomendada-apos-golear-o-ibovespa/"""
82;https://www.moneytimes.com.br/xp-mantem-carteira-que-apanhou-do-ibovespa-na-semana-passada-ela-vai-virar-o-jogo/;"""https://www.moneytimes.com.br/xp-mantem-carteira-que-apanhou-do-ibovespa-na-semana-passada-ela-vai-virar-o-jogo/"""
83;https://www.moneytimes.com.br/xp-faz-duas-trocas-em-carteira-recomenda-semanal-veja-o-portfolio/;"""https://www.moneytimes.com.br/xp-faz-duas-trocas-em-carteira-recomenda-semanal-veja-o-portfolio/"""
84;https://www.moneytimes.com.br/ativa-so-mantem-ultrapar-na-carteira-da-semana-veja-as-novidades/;"""https://www.moneytimes.com.br/ativa-so-mantem-ultrapar-na-carteira-da-semana-veja-as-novidades/"""
85;https://www.moneytimes.com.br/elite-troca-duas-acoes-em-sua-carteira-recomendada-semanal/;"""https://www.moneytimes.com.br/elite-troca-duas-acoes-em-sua-carteira-recomendada-semanal/"""
86;https://www.moneytimes.com.br/mycap-seleciona-5-acoes-para-fechar-a-ultima-semana-de-2020/;"""https://www.moneytimes.com.br/mycap-seleciona-5-acoes-para-fechar-a-ultima-semana-de-2020/"""
87;https://www.moneytimes.com.br/mycap-faz-duas-alteracoes-em-carteira-recomendada-semanal/;"""https://www.moneytimes.com.br/mycap-faz-duas-alteracoes-em-carteira-recomendada-semanal/"""
